epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6395853161811829,0.90625,0.2717339057166865,0.9216759554140127
2,0.1352226436138153,0.9375,0.22131239605628572,0.935609076433121
3,0.297163188457489,0.96875,0.20517964918273174,0.9379976114649682
4,0.11408873647451401,0.96875,0.1646193774998378,0.9516321656050956
5,0.22695563733577728,0.96875,0.152543503663556,0.9540207006369427
6,0.2040320336818695,0.90625,0.13776557626066266,0.960390127388535
7,0.11614301055669785,0.96875,0.13218515323605506,0.9615843949044586
8,0.08106549829244614,0.96875,0.1316449074801295,0.9617834394904459
9,0.022911634296178818,1.0,0.12764524772264965,0.9628781847133758
10,0.09378425031900406,0.96875,0.12441142299657415,0.9627786624203821
11,0.1361502707004547,0.96875,0.1205150805381097,0.964171974522293
12,0.1374129056930542,0.9375,0.11926173166650686,0.9640724522292994
13,0.05287831276655197,1.0,0.11914825039043737,0.9638734076433121
14,0.051651470363140106,1.0,0.11769308172801071,0.9646695859872612
15,0.06025630980730057,1.0,0.1166767237402475,0.9652667197452229
16,0.02209908328950405,1.0,0.11554211447205229,0.9652667197452229
17,0.0377361923456192,1.0,0.11566193176397851,0.9652667197452229
18,0.11531650274991989,0.96875,0.1156660380334279,0.9650676751592356
19,0.019019123166799545,1.0,0.11475083754237765,0.9657643312101911
20,0.03636534884572029,1.0,0.11541413352083249,0.9651671974522293
